"A szerződés megnevezése, típusa, tárgya",A szerződő fél megnevezése,A szerződés értéke,A szerződés időtartama,A szerződés lejárta
Szolgáltatási szerződés  Mosatás,Savaria Patyolat Kft.,"185,- Ft/kg",1 év,2008. 12. 31.
Vállalkozási szerződés Iskolai étkeztetési programrendszer felügyelete,COMP-SYS Kft.,"24.000,- Ft/év",1 év,2008. 06. 14.
Megállapodás Szőnyeg bérleti díj,Lindström Kft.,"221.280,- Ft/év",1 év,2008. 10. 10.
Biztosítási szolgáltatás Kötelező gépjármű biztosítás,Allianz Hungária Biztosító Zrt.,"57.720,- Ft/év",1 év,2008. 12. 31.
Riasztórendszer felügyelet,LHB Inter Security Kft.,"96.000,- Ft/év",1 év,2008. 12. 31.
Program karbantartás,Új Algoritmus Kft.,"199.680,- Ft/év",1 év,2008. 12. 31.
WEB Jogtár Csatlakozási díj,Gazdasági és Pénzügyi Szolgáltató Központ,"34.700,- Ft/év",1 év,2009. 03. 31.
Felvonó átalány díjas karbantartás,Csehi Attila egyéni vállalkozó,"108.000,- Ft/év",1 év,2009. 04. 01.
Étkezés és konyhabérlet,Nyugatmagyarországi Zrt.,"75.196.667,- Ft/év",5 év,2011. 08. 15.
"A szerződés megnevezése, típusa, tárgya",A szerződő fél megnevezése,A szerződés értéke,A szerződés időtartama,A szerződés lejárta
Bérleti szerződés Terembérlet,Unicentrál Bulls Kick-Boksz SE,"2.000,- Ft/hó","1 alkalom  1,5 óra",2008. 06. 30.
Területi bérleti szerződés Italautomata,Coca-Cola Kft.,forgalmi jutalék 5%,visszavonásig,
Területi bérleti szerződés Italautomata,He-Szki Bt.,"11.000,- Ft/hó",1 év,2008. 12. 31.
