"A szerződés megnevezése (típusa), tárgya",A szerződő fél megnevezése,A szerződés értéke (Ft),A szerződés időtartama
Gépjárművásárlás,"Porshe Hungária Kft. 1139 Budapest, Fáy u.27.",4.663.000,egyszeri
Gépjárművásárlás,"Porshe Hungária Kft. 1139 Budapest, Fáy u. 27.",4.663.000,egyszeri
Gépjárművásárlás,"Porshe Hungária Kft.  1139 Budapest, Fáy u. 27.",10.970.000,egyszeri
Gépjárművásárlás,"Porshe Hungária Kft.  1139 Budapest, Fáy u. 27.",6.699.800,egyszeri
Gépjárművásárlás,"Porsche Hungária Kft.  1139 Budapest, Fáy u. 27.",12.960.000,egyszeri
Vállalkozási szerződés,"SZÜDI Gép- és Készülék Javító Kkt. 9030 Győr, Kinizsi u. 25.",2.800+áfa/kült 1.800+áfa belt.,határozatlan
Vállalkozási szerződés,"Infoart Média Bt.   9024 Győr, Illyés Gy.u.8.",14.749.200,2008.05.31.- - 2008.09.30
Vállalkozási szerződés,"Euro-Profil Győr Kft.  9021 Győr, Arany J. u. 15.",14.925.600,2008.06.30 - - 2011.06.30.
Szállítási szerződés,"RL-Hard Kft.  9012 Győr, Albert Schweitzer u. 2/A",12.758.660,2008.06.09. - - 2009.04.30.
Szállítási szerződés mód.,"Alfa Plusz Kft.  9024 Győr,  Hunyadi u. 7/B",Számlázás szerint,2008.07.02 - -2009.12.31.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
